categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,colonna_separata,modello,sport,colori
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE STEALTH NEO 2 - Scarpe da pallamano - white/bellwether blue/bel air blue,"152,99","169,99",https://www.zalando.it/mizuno-wave-stealth-neo-2-scarpe-da-pallamano-whitebellwether-bluebel-air-blue-m2742a0if-a12.html,"['WAVE STEALTH NEO 2 ', ' Scarpe da pallamano ', ' white/bellwether blue/bel air blue']",WAVE STEALTH NEO 2 , Scarpe da pallamano , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LUMINOUS 3 - Scarpe da pallavolo - mint/black/blue,"134,99","149,99",https://www.zalando.it/mizuno-wave-luminous-3-scarpe-da-pallavolo-mintblackblue-m2744a00p-m11.html,"['WAVE LUMINOUS 3 ', ' Scarpe da pallavolo ', ' mint/black/blue']",WAVE LUMINOUS 3 , Scarpe da pallavolo , mint/black/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV PRO - Scarpe da calcetto con tacchetti - white/neon green/cool gray,"83,99","129,99",https://www.zalando.it/mizuno-morelia-neo-iv-pro-scarpe-da-calcetto-con-tacchetti-whiteneon-greencool-gray-m2742a0jm-a11.html,"['MORELIA NEO IV PRO ', ' Scarpe da calcetto con tacchetti ', ' white/neon green/cool gray']",MORELIA NEO IV PRO , Scarpe da calcetto con tacchetti , white/neon green/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - vintage indigo/neo mint/frontier blue,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-vintage-indigoneo-mintfrontier-blue-m2742a0ja-k12.html,"['WAVE RIDER 28 ', ' Scarpe da corsa su strada ', ' vintage indigo/neo mint/frontier blue']",WAVE RIDER 28 , Scarpe da corsa su strada , vintage indigo/neo mint/frontier blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV B ELITE RUN ON - Scarpe da calcetto con tacchetti - black/galaxy silver,"209,99","209,99",https://www.zalando.it/mizuno-morelia-neo-iv-beta-elite-run-on-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silver-m2742a0hu-q11.html,"['MORELIA NEO IV B ELITE RUN ON ', ' Scarpe da calcetto con tacchetti ', ' black/galaxy silver']",MORELIA NEO IV B ELITE RUN ON , Scarpe da calcetto con tacchetti , black/galaxy silver
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED TOUR 6  - Scarpe da padel - salute/hibiscus/enamel blue,"126,99","149,99",https://www.zalando.it/mizuno-wave-exceed-tour-6-scarpe-da-padel-salutehibiscusenamel-blue-m2742a0ji-q11.html,"['WAVE EXCEED TOUR 6  ', ' Scarpe da padel ', ' salute/hibiscus/enamel blue']",WAVE EXCEED TOUR 6  , Scarpe da padel , salute/hibiscus/enamel blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO III  - Scarpe da calcetto con tacchetti - white/neon green,"44,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-iii-select-ag-scarpe-da-calcetto-con-tacchetti-whiteneon-green-m2742a0jn-a11.html,"['MONARCIDA NEO III  ', ' Scarpe da calcetto con tacchetti ', ' white/neon green']",MONARCIDA NEO III  , Scarpe da calcetto con tacchetti , white/neon green
Scarpe Sportive Uomo Mizuno,MIZUNO,BREAK SHOT 5 CC - da tennis per terra battuta - white/black,"79,99","79,99",https://www.zalando.it/mizuno-break-shot-5-clay-da-tennis-per-terra-battuta-whiteblack-m2742a0lb-a11.html,"['BREAK SHOT 5 CC ', ' da tennis per terra battuta ', ' white/black']",BREAK SHOT 5 CC , da tennis per terra battuta , white/black
Scarpe Sportive Uomo Mizuno,MIZUNO,MIZUNO Α II PRO - Scarpe da calcetto con tacchetti - white/silver iridiscent/black,"155,00","155,00",https://www.zalando.it/mizuno-mizuno-ii-pro-unisex-scarpe-da-calcetto-con-tacchetti-whitesilver-iridiscentblack-m2742a0jw-a11.html,"['MIZUNO Α II PRO ', ' Scarpe da calcetto con tacchetti ', ' white/silver iridiscent/black']",MIZUNO Α II PRO , Scarpe da calcetto con tacchetti , white/silver iridiscent/black
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA II PRO RUN ON - Scarpe da calcetto con tacchetti - black/galaxy silver/dark shadow,"106,00","120,00",https://www.zalando.it/mizuno-morelia-ii-pro-run-on-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silverdark-shadow-m2742a0it-q11.html,"['MORELIA II PRO RUN ON ', ' Scarpe da calcetto con tacchetti ', ' black/galaxy silver/dark shadow']",MORELIA II PRO RUN ON , Scarpe da calcetto con tacchetti , black/galaxy silver/dark shadow
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA II CLUB - Scarpe da calcetto con tacchetti - black/galaxy silver/dark shadow,"48,99","74,99",https://www.zalando.it/mizuno-morelia-ii-club-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silverdark-shadow-m2742a0i2-q18.html,"['MORELIA II CLUB ', ' Scarpe da calcetto con tacchetti ', ' black/galaxy silver/dark shadow']",MORELIA II CLUB , Scarpe da calcetto con tacchetti , black/galaxy silver/dark shadow
